Order_id,Product_id,Quantity
1,3877,2
1,4495,3
1,2234,3
1,2208,1
1,2514,5
2,6114,4
3,3942,3
4,7354,3
4,7792,1
4,8282,1
4,7807,1
4,9974,1
5,2340,3
5,4046,1
5,7883,5
5,6221,1
5,665,1
6,4869,2
7,6954,5
7,693,3
7,3343,1
7,6730,1
8,3072,2
9,2947,4
9,4173,4
9,5225,3
9,7553,5
10,4393,1
10,7786,2
10,937,5
11,2941,2
11,8068,4
12,4097,2
12,8678,3
12,338,5
12,3236,5
13,5197,1
13,5730,5
13,7755,1
13,3917,2
13,5812,3
14,7560,4
14,6299,2
14,9298,1
15,3228,1
16,206,4
16,1220,2
16,7323,2
16,6541,5
16,8265,1
17,431,3
17,5420,2
17,8568,3
18,7274,1
18,6504,4
18,9774,5
18,6958,4
18,9409,2
19,2168,2
19,3412,4
19,5101,4
19,3162,3
20,8383,5
20,9141,4
20,4019,2
20,9582,2
21,7774,1
21,2569,1
21,9706,3
21,605,5
22,5333,2
22,6759,2
22,6219,4
23,5622,2
23,771,1
23,3732,3
23,7480,5
23,8990,2
24,4270,4
24,2225,4
24,7273,3
24,7538,3
25,9401,5
25,4233,1
25,9862,1
25,9262,5
26,8815,5
26,9882,1
26,2512,1
26,5294,3
26,3316,1
27,4068,5
27,5059,2
27,6079,2
27,9448,2
27,4069,4
28,877,5
28,8812,1
28,5196,5
29,9660,2
30,8043,2
30,4516,2
30,4300,2
31,4598,5
31,3744,4
31,9831,2
31,9673,1
32,4216,3
33,2354,1
33,3913,5
33,6994,3
34,4901,1
34,1706,2
34,4714,1
35,6331,5
35,9553,1
36,4495,3
36,4648,2
36,5264,2
37,8615,2
37,466,1
37,9398,5
38,7972,1
38,2710,5
38,4725,5
38,5014,4
39,383,2
39,2240,3
40,7178,2
41,123,2
41,3653,3
41,7466,4
42,6294,3
42,3499,2
42,5291,1
42,6689,4
42,8994,3
43,3157,1
44,8626,1
45,2265,1
45,2129,4
45,7777,3
45,3935,5
46,1826,4
46,8833,3
46,1068,4
47,8227,5
48,4325,2
48,4942,4
49,4901,3
50,5414,1
51,3783,4
52,2305,1
52,2673,5
52,5449,4
52,1403,4
52,8659,1
53,8262,4
53,1730,5
53,7830,2
53,9317,1
53,3524,3
54,6719,5
54,4637,3
54,8854,5
54,9175,3
54,9289,1
55,7622,5
55,7136,2
55,7127,5
55,4521,2
56,312,1
56,7166,3
57,8452,2
57,2781,4
57,5748,4
58,9493,1
58,9067,2
58,3241,4
58,7528,2
59,6581,2
59,2113,4
59,9171,2
59,2828,5
60,318,1
60,3401,2
60,4155,2
60,6965,2
61,6131,1
62,9496,2
63,107,4
63,7878,1
63,4732,1
64,1461,3
64,3094,2
64,3045,1
64,4125,4
64,6163,1
65,189,3
65,1196,1
65,7771,1
65,7383,3
66,669,3
66,5861,2
66,4433,3
66,3568,2
66,778,3
67,105,2
67,921,5
68,5279,1
69,3896,1
69,4561,1
69,3649,2
69,2705,4
70,9535,1
70,7563,3
70,5172,2
71,1571,4
71,3246,4
71,4362,5
71,4068,5
72,648,2
72,2770,1
72,5636,5
72,4622,1
73,3794,2
73,932,5
73,4510,3
74,6965,5
74,5487,1
74,9964,3
75,6014,3
75,4937,2
75,3513,4
76,2150,3
76,5263,2
76,759,5
76,4416,2
77,328,4
77,1008,3
77,2676,2
77,2109,1
78,7137,4
78,2959,5
79,4125,2
79,5890,4
79,603,4
79,7649,5
80,6563,5
80,1307,1
80,5156,4
81,2363,3
81,3530,3
81,9491,3
81,3220,1
81,650,1
82,2565,5
83,4853,1
83,1609,4
83,1899,5
83,4771,2
83,9223,5
84,741,3
84,6166,5
84,9724,1
84,8775,2
84,696,4
85,9914,5
85,4516,3
85,5190,5
85,2512,1
85,5442,2
86,1366,5
86,9673,5
86,9978,4
86,9543,2
87,6517,5
87,4283,2
88,3643,1
88,9947,1
88,130,5
89,7068,1
89,884,5
89,8662,2
90,7702,2
90,8932,4
90,1958,2
90,3970,1
90,3794,3
91,3142,4
91,8138,1
91,1392,3
91,7142,5
91,3715,2
92,8788,1
92,4235,1
92,6161,1
92,6761,2
93,1770,2
94,884,5
95,919,2
95,2806,5
95,7053,1
95,4613,3
96,4628,4
96,1011,2
96,8278,3
96,4393,2
96,4508,3
97,2716,5
98,3141,3
98,9461,5
98,8561,2
99,5067,2
99,4597,2
99,6707,3
99,3629,3
99,880,4
100,1096,5
100,3868,2
100,7094,4
100,1228,1
101,5533,5
102,6495,5
103,4830,2
104,1154,5
104,6642,1
104,5571,4
104,2950,3
104,7150,3
105,5015,4
106,7345,3
106,8822,3
106,3495,3
107,1132,2
107,9031,3
108,9313,3
108,2056,3
108,8073,2
108,9299,3
109,3997,3
109,564,3
109,9177,1
110,7275,3
110,1979,1
110,8993,1
110,3845,4
110,3893,5
111,7784,5
111,6112,4
111,5648,4
111,1105,5
111,5764,2
112,5910,1
113,2788,5
114,474,4
114,5068,1
114,3731,3
114,2647,1
114,6141,2
115,963,2
115,3544,5
115,8552,5
115,827,3
115,6982,5
116,3731,5
116,6078,4
116,7385,4
116,554,3
116,9418,2
117,219,3
117,4835,5
117,3532,3
