idUser_Addresses,User_id,Address_id
1,1,212
2,2,4951
3,2,6371
4,3,2084
5,3,8491
6,4,2413
7,4,3221
8,5,5277
9,5,5966
10,6,1585
11,7,9162
12,7,969
13,8,4888
14,8,2358
15,9,4522
16,9,357
17,10,1509
18,11,9997
19,12,8243
20,13,6093
21,14,4652
22,14,5530
23,15,2075
24,16,1103
25,16,9679
26,17,2241
27,17,3910
28,18,8900
29,18,5925
30,19,5957
31,20,5355
32,21,8421
33,22,3337
34,22,5198
35,23,6798
36,24,4995
37,25,1813
38,25,1481
39,26,7010
40,27,3847
41,28,3473
42,28,8715
43,29,1883
44,30,1566
45,30,7987
46,31,6914
47,32,5229
48,32,4916
49,33,8990
50,34,1178
51,35,5519
52,35,5535
53,36,4033
54,36,3987
55,37,3601
56,37,5127
57,38,1583
58,39,889
59,40,936
60,41,3581
61,41,7697
62,42,7975
63,43,6116
64,43,8000
65,44,9152
66,44,5008
67,45,5067
68,45,4048
69,46,9062
70,46,5573
71,47,5422
72,47,7989
73,48,4507
74,49,7593
75,49,8176
76,50,2648
77,50,6189
78,51,6064
79,52,5393
80,52,4852
81,53,775
82,54,6651
83,55,5842
84,55,7562
85,56,9373
86,57,5338
87,57,1176
88,58,1460
89,59,2068
90,60,584
91,60,2238
92,61,5240
93,61,8148
94,62,3630
95,62,704
96,63,8672
97,64,9514
98,65,3636
99,65,1650
100,66,2864
101,67,4033
102,67,2762
103,68,5900
104,68,6030
105,69,9259
106,70,317
107,71,2180
108,71,3660
109,72,1717
110,72,1161
111,73,6052
112,73,2749
113,74,6735
114,74,5253
115,75,1633
116,76,5898
117,77,9776
118,77,6708
119,78,5379
120,78,3086
121,79,7473
122,80,9660
123,81,4757
124,82,2774
125,83,9329
126,83,5839
127,84,6842
128,85,828
129,85,4074
130,86,8438
131,87,6447
132,87,9526
133,88,9925
134,89,6412
135,89,4620
136,90,7555
137,90,6962
138,91,2019
139,92,763
140,93,6056
141,94,7304
142,95,2234
143,96,6779
144,97,9801
145,98,1316
146,99,5803
147,100,432
148,100,4647
149,101,1409
150,102,8321
151,102,481
152,103,161
153,104,4333
154,105,3742
155,106,481
156,106,8600
157,107,2157
158,107,3642
159,108,7564
160,108,3359
161,109,7095
162,109,8266
163,110,2449
164,110,8091
165,111,9790
166,112,7503
167,112,6373
168,113,4281
169,114,3580
170,114,3584
171,115,8588
172,116,2893
173,117,2323
174,117,6571
175,118,784
176,118,7548
177,119,5893
178,120,8478
179,120,5277
180,121,8956
181,122,4681
182,123,6243
183,123,4108
184,124,1538
185,124,3862
186,125,9197
187,125,2331
188,126,6797
189,127,6587
190,127,1869
191,128,2665
192,129,2651
193,130,4869
194,130,8398
195,131,593
196,131,9619
197,132,2453
198,133,8647
199,134,9690
200,134,9813
201,135,4273
202,135,3085
203,136,4675
204,137,5382
205,137,4431
206,138,6481
207,139,3548
208,139,5501
209,140,1544
210,141,9600
211,141,3622
212,142,7081
213,143,6807
214,143,1528
215,144,3132
216,144,4584
217,145,8985
218,146,1591
219,147,8360
220,148,8866
221,149,2509
222,150,2502
223,150,7487
224,151,6335
225,151,4763
226,152,3096
227,153,8640
228,154,7828
229,155,9358
230,156,1754
231,156,4879
232,157,2888
233,157,4922
234,158,5636
235,158,5505
236,159,6671
237,160,8484
238,160,5130
239,161,3933
240,161,2145
241,162,7984
242,162,1605
243,163,9501
244,164,9292
245,164,9645
246,165,7681
247,166,5558
248,166,1408
249,167,9765
250,168,4650
251,168,6920
252,169,2177
253,169,7021
254,170,1737
255,171,9180
256,171,3091
257,172,6932
258,173,6353
259,173,9196
260,174,1043
261,174,5120
262,175,7708
263,176,9744
264,177,4442
265,177,8024
266,178,9145
267,178,842
268,179,7268
269,180,3233
270,180,4956
271,181,8118
272,182,4002
273,182,7440
274,183,3096
275,184,9213
276,185,747
277,186,4279
278,187,2198
279,188,3487
280,189,8754
281,189,7867
282,190,1944
283,191,9153
284,192,772
285,192,22
286,193,6269
287,194,4791
288,194,4039
289,195,6637
290,196,968
291,197,9663
292,198,1138
293,199,9909
294,200,567
