idOrder_Items,Order_id,Product_id,Quantity
1,1,1646,1
2,2,261,5
3,2,6029,2
4,2,9448,1
5,3,3855,1
6,3,7778,2
7,3,9842,3
8,3,3119,4
9,4,5714,5
10,4,430,5
11,4,7773,3
12,5,2261,5
13,5,5524,5
14,5,2286,1
15,5,5159,4
16,6,6687,4
17,6,3991,4
18,6,7290,2
19,6,4043,4
20,6,8259,1
21,7,1009,3
22,7,3865,3
23,7,4409,5
24,7,9309,3
25,7,3288,4
26,8,7451,5
27,8,9328,4
28,9,3432,3
29,9,9466,2
30,10,8479,5
31,10,7107,4
32,11,778,4
33,12,5561,5
34,12,6643,1
35,12,9624,4
36,12,3561,3
37,13,8711,2
38,14,8780,3
39,15,5495,2
40,16,6387,2
41,16,9084,3
42,16,3697,1
43,16,8784,5
44,17,5424,3
45,17,4536,1
46,18,6798,3
47,18,3517,2
48,18,7751,1
49,18,7567,5
50,19,2477,2
51,19,5099,2
52,19,4984,3
53,19,4677,5
54,19,4483,5
55,20,4048,3
56,20,3743,5
57,20,2492,5
58,20,9572,1
59,21,3366,2
60,21,4265,3
61,22,6772,1
62,22,4706,3
63,22,2211,2
64,22,3768,4
65,22,749,5
66,23,6147,3
67,23,7531,5
68,23,7278,5
69,23,4779,1
70,24,331,1
71,24,6221,3
72,24,484,2
73,24,2749,5
74,24,2534,5
75,25,7556,5
76,26,4548,4
77,26,8991,1
78,27,2764,4
79,28,9955,4
80,29,7597,4
81,29,9045,5
82,29,2562,1
83,30,6665,5
84,31,6463,3
85,32,1603,2
86,32,6814,5
87,32,5463,3
88,33,8107,4
89,33,8733,5
90,33,8947,2
91,34,2947,4
92,34,6917,4
93,34,1306,1
94,34,9648,2
95,34,1147,5
96,35,8448,1
97,35,3989,5
98,36,7826,4
99,37,8873,3
100,37,2350,4
101,37,756,2
102,37,6028,1
103,37,6380,5
104,38,9100,3
105,39,9689,4
106,39,6964,3
107,40,332,1
108,40,7461,5
109,40,501,5
110,40,9575,5
111,40,336,3
112,41,5305,4
113,42,7058,4
114,42,9790,4
115,43,2891,4
116,44,4141,4
117,44,6225,1
118,45,7568,5
119,45,5744,3
120,45,7693,4
121,45,3430,5
122,46,5913,2
123,46,841,3
124,47,9386,1
125,47,4425,5
126,48,975,4
127,48,5521,1
128,48,8235,2
129,49,8334,5
130,50,6580,1
131,50,1717,4
132,50,8791,1
133,50,6870,4
134,51,8258,5
135,51,3829,3
136,51,472,3
137,52,3592,5
138,53,5180,1
139,53,5156,2
140,53,8282,5
141,53,6740,4
142,54,6087,2
143,54,7582,2
144,54,8144,1
145,54,9052,1
146,55,9550,1
147,55,7448,4
148,56,2511,5
149,56,8208,2
150,57,7890,1
151,57,6434,5
152,57,3838,2
153,57,1882,2
154,58,9309,3
155,59,7232,5
156,60,687,2
157,60,6217,2
158,60,7527,2
159,61,1765,3
160,61,136,5
161,61,1932,5
162,62,1980,2
163,62,9196,1
164,62,9211,5
165,62,8157,1
166,63,3874,2
167,64,4435,5
168,64,5214,1
169,64,2730,5
170,65,9434,5
171,65,7479,1
172,65,8847,3
173,65,4760,5
174,66,2462,1
175,66,1259,3
176,67,9226,3
177,67,2022,3
178,67,9124,5
179,68,6117,2
180,68,7602,1
181,68,3840,3
182,68,8843,4
183,68,7106,5
184,69,7751,2
185,69,58,2
186,70,5629,2
187,70,8373,1
188,70,3721,2
189,70,1453,3
190,70,8013,2
191,71,230,5
192,71,4620,5
193,71,4456,2
194,71,5651,4
195,71,9887,4
196,72,3518,1
197,72,7405,2
198,72,9281,3
199,72,8908,4
200,72,6487,2
201,73,5957,3
202,73,949,2
203,73,6880,1
204,73,2665,1
205,74,8500,2
206,74,1270,5
207,74,7617,1
208,74,4728,3
209,75,8309,1
210,75,6161,1
211,75,287,3
212,76,7367,5
213,77,1744,3
214,77,6673,5
215,77,3332,2
216,77,7914,1
217,78,9432,1
218,79,4330,4
219,79,9252,2
220,79,7688,4
221,79,2992,3
222,80,3137,5
223,80,5610,4
224,81,7789,5
225,82,4611,4
226,83,5568,4
227,83,5407,3
228,83,9339,1
229,84,6300,2
230,84,4552,4
231,84,9609,3
232,85,350,3
233,85,2961,3
234,85,1623,1
235,85,9894,1
236,86,274,3
237,86,9315,2
238,86,8378,3
239,86,8377,2
240,86,1653,2
241,87,692,4
242,88,8324,1
243,88,9574,1
244,88,8775,1
245,89,4934,5
246,89,2762,2
247,89,5742,3
248,89,6912,3
249,90,2463,2
250,90,9603,4
251,90,3247,4
252,90,5568,3
253,91,1218,4
254,91,9741,2
255,91,7234,3
256,91,1710,4
257,91,5027,5
258,92,5369,2
259,92,6998,5
260,92,217,4
261,92,576,1
262,93,7676,3
263,94,5242,2
264,94,8525,1
265,94,9436,4
266,94,6668,1
267,94,3942,1
268,95,9414,1
269,95,8984,5
270,95,6038,3
271,95,6464,2
272,95,3062,4
273,96,8083,5
274,96,4483,1
275,96,3804,3
276,97,2014,5
277,97,2656,3
278,97,4938,2
279,97,7738,2
280,98,6724,2
281,98,4216,2
282,98,1156,5
283,98,4434,2
284,99,8,4
285,99,8131,4
286,99,4808,1
287,100,9800,4
288,100,1637,5
289,100,2531,3
290,100,1471,2
291,101,9512,4
292,101,6408,5
293,102,4489,4
294,102,1836,4
295,102,1891,4
296,103,2295,3
297,103,5494,3
298,103,1294,5
299,103,3255,4
300,103,8216,2
301,104,8860,2
302,104,8875,1
303,104,3801,2
304,104,7525,4
305,105,3489,4
306,105,3893,2
307,105,9526,2
308,105,9421,2
309,105,770,2
310,106,5047,1
311,106,2624,1
312,106,9691,1
313,106,9190,3
314,106,8467,4
315,107,7103,4
316,107,2808,2
317,107,1207,3
318,107,4757,5
319,107,6739,4
320,108,4023,2
321,108,9527,3
322,108,305,1
323,109,4727,4
324,109,9513,5
325,109,4023,2
326,110,356,5
327,111,8471,4
328,112,3904,5
329,112,293,1
330,112,3993,5
331,113,9954,1
332,114,2067,1
333,114,3488,1
334,114,3748,2
335,114,250,3
336,115,4705,2
337,116,2640,3
338,116,7605,3
339,117,6101,4
340,117,6618,5
341,118,2886,4
342,118,2975,2
343,118,9283,4
344,118,7405,1
345,119,4632,4
346,119,4483,3
347,119,3980,3
348,119,2322,1
349,119,1789,3
350,120,7575,4
351,120,9227,2
352,120,6956,4
353,121,5124,1
354,121,1239,5
355,121,8388,2
356,121,8443,5
357,122,5012,4
358,122,1861,2
359,122,3494,3
360,123,3486,5
361,123,2101,1
362,124,9074,4
363,124,8700,2
364,124,7876,2
365,125,3384,5
366,125,5133,1
367,126,9173,1
368,127,789,1
369,127,5086,5
370,127,4744,5
371,127,448,3
372,128,2843,5
373,128,5114,4
374,128,6108,4
375,128,8180,5
376,128,2945,2
377,129,8240,1
378,129,1713,4
379,129,7533,1
380,130,8259,1
381,130,7011,4
382,130,7484,3
383,130,4691,2
384,131,1689,2
385,132,2423,2
386,133,6564,1
387,133,1518,1
388,134,5080,2
389,134,4431,3
390,135,6308,3
391,135,1606,1
392,135,3250,5
393,135,1787,2
394,135,899,3
395,136,3771,4
396,136,6676,4
397,136,6446,5
398,136,1491,5
399,136,213,3
400,137,4333,1
401,137,6932,4
402,137,6118,1
403,138,9915,1
404,139,7946,3
405,139,3431,3
406,139,6181,1
407,139,3559,3
408,140,1984,4
409,140,6473,4
410,141,6700,4
411,141,1666,5
412,141,5589,1
413,142,4140,1
414,142,3279,1
415,143,6414,1
416,143,9414,1
417,143,4517,2
418,143,4799,4
419,143,9135,4
420,144,6732,2
421,144,6806,3
422,145,7710,3
423,145,9093,1
424,145,3852,5
425,146,5409,1
426,147,2353,5
427,147,5533,2
